word	cid	keyword	cluster
American	85	Amercian	Americn, Amerian, Britsh, Amercian, --American, inAmerican, moreAmerican, American-American, Amencan, Northamerican, NewsAmerican, USAmerican, Non-American, onAmerican, amercian, America-the, America, theAmerican, Americam, withAmerican, Ameri-can, Americna, TheAmerican, merican, AmericanAmerican, it.American, AmericansThe, world.American, Amreican, Bristish, Amarican, ex-American, DescriptionAmerican, Amrican, Americ, Amer-ican, forAmerican, byAmerican, America.The, andAmerican, Ameircan, HomeAmerican, Amercan, ofAmerican, Americian, Ameican
American	10	British	Continental, German-American, Candadian, American-British, Western, North-American, Anglo-American, US-American, Euro-American, American-European, Canadian, European, British, British-American
American	5	U.S.	Amurrican, US, American-based, U.S, American.But, Amerians, American.It, American.What, non-American, American.So, American--, Americans, U.S.
American	40	American-type	Midwestern, Americana, all-American, American-style, American-type, American-influenced, American-styled
American	35	Mexican	Latin-American, Mexican
American	18	Indian	Indian
American	52	Japanese	Japanese
American	73	African	African
Arafat	20	yasser	Mabhouh, arch-terrorist, Zarqawi, mini-Hariri, Arafats, Nasrallah, yasser, al-Mabhouh, Quntar, Osama, Masalha, Mugniyeh, Rantissi, Al-Mabhouh, Hussein
Arafat	28	PLO	intifadah, P.L.O., Palestinians, Ramallah, post-Oslo, PLO
Arafat	38	Abbas	Yasser, Suha, Yassir, Yasir, Abbas
Arafat	3	Olmert	Peres, Weisglass, Olmert, Netanhayu
Arafat	5	Musharraf	Benazir, Musharraf, Bhutto
Arafat	24	Misbah	Hafeez, Misbah
Arafat	35	Ahmedinajad	Ahmedinajad, Achmadinejad
Arafat	1	Chirac	Chirac
Arafat	9	Mubarak	Mubarak
Arafat	14	Muzdalifah	Muzdalifah
Arafat	29	Abu-	Abu-
Brazil	11	Vitória	Amazonas, Sergipe, Florianópolis, Vitória, Manaus, Rondonia, São, Parana, Itapira, Macapá, Goias, Piauí, Cubatão, Pará, Rondônia, Niteroi, Piaui, Paraiba, Pernambuco, Guarujá, Gerais, Goiás, Florianopolis, Ceará, Maranhão
Brazil	12	Brazilian	Brazilan, Brazil.This, Brasil, CURITIBA, Brazil.I, brasil, BRASÍLIA, Brésil, Brazillians, Brazil.In, BrazilBrazil, Brazilians, Brazilian, non-Brazilian, brazilian, Brazillian, Brazil.As, Brazilia, Brazi, BrazilThe, Brazils, Brazil.He
Brazil	37	Uberlandia	Uberlandia, Goiania, Jacarei, Cuiaba, Goiana, Goiânia, Itupeva, Jundiaí, Indaiatuba, Atibaia, Taubate, Paulinia, Guaruja
Brazil	32	Argentina	Paraguay, Uruguay, Colombia, Argentina
Brazil	63	Rouseff	Rouseff, Góes
Brazil	8	Portugal	Portugal
CD	37	non-CD	2-cd, mini-cd, DigiPac, DIGIPACK, CD-R, Blu-Spec, Rev-Ola, Cassette, CD-r, double-live, DIGIPAK, jewelcase, 8-CD, CDThis, cassette, 2-CD, 5-CD, 2CDs, CDThe, 3xCD, audio-CD, 6-CD, 10CD, 3CDs, Jewelcase, mini-CD, non-CD, Mini-CD, CDr, cd-r, 4CDs
CD	62	CDs	DVDr, CD-Rom, MP3-CDs, -ROM, CD-rom, audio-cd, dvd, DVDrom, DVD, CD-ROM, CD-drive, CDROM, CD-G, CDRWs, discs, CDs, CD-DVD, CD-Drive, DVD-CD, disc, CDDVD, multichanger
CD	58	CD.The	Cds, CD.It, cds, C.D.s, CDs-, CD.I, cd.I, CD.So, CD.This, c.d., CD.-, CD.If, www.cdbaby.com, CDBABY, CD.For, CDYou, CD.The, CD.And
FBI	78	F.B.I.	F.B.I., WITSEC, Ex-LAPD, VICAP, C.I.A, C.I.A., N.S.A, USPIS, Ex-FBI, FBI.The, FBIs, Infragard, Ex-NSA, Counterterrorism, Ex-KGB, NSA, Shin-Bet, CIAThe, InfraGard, Counterterror, counter-intelligence, Interpol, counterterrorism, CIA.The, FBI-agent, ex-CIA, Cointelpro, CIA-Mafia, Counter-intelligence, AFOSI, Europol, fbi.gov, Bundeskriminalamt, ex-NSA, wiretaps, CIA, www.fbi.gov, ex-FBI, wiretap, KGB, COINTELPRO, Counterintelligence, f.b.i., MI5, FBI-led, JTTF, Counterterrorist, Counter-Intelligence, counterintelligence, F.B.I, G-men, said.FBI, FBI.gov, Cointel
FBI	20	DOJ	feds, CJIS, IRS, DEA, CCIPS, DOJs, EOUSA, DIOG, DOJ, FTTTF, FEDS, BATFE, Gunwalking, USSS, Strassmeir, ViCAP, ATF, DHS, FDLE, PATCON, ACLU, ATFE, Feebs, Feds, DoJ, OIG, FOIPA, EmailGate, D.O.J., BATF, USDOJ, Comey
FBI	48	SLCPD	SLCPD, LAPD, NYPD
FBI	41	investigators	investigators
Freud	53	Frued	Freudian, Roudinesco, Bleuler, Young-Bruehl, Kernberg, Freuds, Oedipal, Psychoanal, psychodynamic, schizoanalysis, psychoanalyses, Assagioli, object-relations, Psychoanalyst, Charcot, psychoanalyst, psychoanalysis, Frued, neurosis, psycho-analyst, Sacher-Masoch, Neuropsychoanalysis, Psychodynamic, Lacanian, Copjec, Jungian, freudian, Tausk, psychoanalytic, Winnicott, Bettleheim, Kleinian, Psychoanalysts, Krafft-Ebing, Sinthome, psychoanalysing, Jungians, analysands, Lacan, lacan, Psycho-Analysis, Psychoanalyse, Freudianism, Kristeva, Stekel, Ehrenzweig, Jung, Roazen, psychoanalytically, Wundt, Spielrein, analysand, psychoanalysts, Sigmund, PSYCHOANALYSIS, Psychoanalytic, Psychopathology, C.G.Jung, Kraepelin, Ferenczi, psychopathology, Quadra-Cut, Psychoanalysis, Sigmond
Freud	4	Nietzsche	Nietzche, Schopenhauer, Neitzsche, Nietzshe, Cassirer, Nietzsche, Zizek, Sartre, Heidigger, Rée, Kierkegaard, Nietsche, Nietszche, Wittgenstein, Marx
Harvard	31	Yale	Bacow, Yale, UMass-Lowell, Tulane, HGSE, UMASS, Darmouth, Fordham, U-Mass, UCLA, CollegeBoston, Massachusetts-Lowell, Umass, UChicago, Harvard.The, Harvard-MIT, Princton, University-trained, Vanderbilt, B.U., Northwestern, Stanford, UMass-Amherst, U-Penn, Tufts, Amherst, UniversityHarvard, Boston, i-lab, Harvar, Johns-Hopkins, UMass-Boston, Babson, MIT, Wellesley, UMass, metaLAB, Standord, Standford, M.I.T., Georgetown, BU, HBS, MIT-, UC-Berkeley, CalTech, M.I.T, N.Y.U., Harvard-based, Boston-Cambridge, Darthmouth, Cambridge, Wesleyan, WashU, Emory, Dartmouth, Vassar, Oxford
Harvard	80	Harvards	non-Ivy, Harvard-Yale, ivy-league, Hahvahd, YALE, HUPD, Cantabs, HarvardKey, IvyGate, Ivy-League, Yale-Harvard, yale, Yalie, Yalies, Ivy-league, harvard.edu, Oxbridge, Harvards
Harvard	42	Yenching	Tsinghua, Yenching
Harvard	34	Havard	Havard
Harvard	76	02138	02138
Israel	61	Israeli	Israeland, Zionists, Israël, IsraelPosted, Israel.For, Israel.The, IsraelIsrael, IsraelIn, JPost, Palestenians, Israeli, IsraelI, Israel.There, IsraHell, Israel.These, Netanyah, AIPAC, Irael, non-Israeli, Israel.He, Israel.When, Palestinians, Natanyahu, Israel.But, Israel.Israel, Netayahu, Haaretz, Israel.A, Knesset, Zionist, Israelis, Israel.Now, Israel.So, Likud, Isreal, srael, lsrael, Palestine, IsraelAs, Israe, Netanyahu, Isarel, JerusalemIsrael, Israel.I, IsraelThe, Israle, it.Israel, Palestinian, Israels, Israel.We, ofIsrael, Jews, Israel-US, NewsIsrael, Israel.In, Israel.3., Jerusalem, Israelies, Israel.If, Israel.And
Israel	68	Rehovot	Negev, Eliat, Ramat-Gan, Tel-Hai, Netanya, Technion, Ashdod, Rehovot, Herzelia, Aviv, Herzliya, Eilat, Haifa, TEL-AVIV
Israel	33	Taglit-Birthright	Taglit-Birthright
Jackson	44	Harrison	Warren, Howell, Tolliver, Rowe, Terrell, Odom, Jennings, McBride, Taylor, Powell, McClain, Quinton, Harrison, Walters, Thompson, Walton, Benton, Johnson, Griffin, Perkins, Cooper, Calhoun, Anderson, Mitchell, Davis, Sanders, Hinds, Finley, Patterson, Covington, Greenwood, Williams, Glover, Richardson, Monroe, Evans, Morris, Guyton, Pickett, Payne, Freeman, Payton, Bryant, Townsend, Hammond, McKenzie, McKinley, Lewis, Walker, Lamar, Curtis, Franklin, Smith, Gaines, Frazier, Edwards, Parker, Randolph, Forrest
Jackson	82	Jackon	Jackson-esque, Jackso, JacksonJackson, Jackon, Jacksons, Raymone, said.Jackson, JacksonThe, 08527, Jackson.Jackson, Jacson, Jackson.In, Jacskon, ackson, LaToya, Jack-son, Jackson.I, Jackson-like, MacLow, Jackson.The
Jackson	22	Mississippi	Vicksburg, McComb, Tupelo, Flowood, Ridgeland, Fondren, Mississippi
Jackson	8	Presley	Presley
Jackson	28	Lucas	Lucas
Jackson	32	Sharpton	Sharpton
Jaguar	44	Jaguars	C-XF, X-TYPE, C-X75, XK8, Jaguars, xj6, XJ6, XFR-S, F-TYPE, Land-Rover, XKE, XJ8, xkr, xk8, C-X17, F-Type, F-PACE, I-PACE, XJ8L, Sportbrake, XJ40, E-TYPE, Jags, XKSS, Xk8, XKR-S, X-type, S-TYPE, xjr, I-Pace, X-Type, Aston-Martin, XJ220, Jaquar, C-X16, F-Pace, XKR, XJ12, XJR, XK120
Jaguar	5	Panther	Cougar, Tiger, Puma, Panther, Lynx, Cheetah, Leopard, Jaguarundi
Jaguar	18	XK6	XK6
Jaguar	37	Tambako	Tambako
Japanese	8	Japenese	Japanized, Japlish, Japense, Japane, Japn, Japan, all-Japanese, Japans, Japan.The, Nippon, Japanease, JapaneseThe, Osakan, jap, JapaneseJapanese, japenese, Japanese.The, gaijin, Nipponese, Japanise, Japansese, Jap., Japaness, Japanes, Japanese-language, Japan-related, un-Japanese, Japanophiles, Japanese-style, Japanese-Chinese, Japanese.In, Japan-specific, JapanJapanese, Japaneses, Japanese-speaking, Chinese-Japanese, Meiji-era, Japaneese, Japonese, Japanese-based, Tokyo-based, Japan-based, theJapanese, non-Japan, JAPAN, Japanish, Jap, half-Japanese, non-Japanese, Japanse, Japanese-ness, Japanesse, Tofugu, Japanese.I, Japaneseness, Japanese-inspired, Japanase, Non-Japanese, Japenese, Japanese-only, non-japanese, yen-denominated, Nihonjin, apanese, Japnese, Japanophile, Japanese-born, Nihon, Tokyo-born, Jap-
Japanese	33	Tokyo	Tokyo-area, Kansai, Tokyo, Hokkaido, Nagoya, Fukuoka, Kyushu, Osaka, Okinawan
Japanese	11	Chinese	Asian, Chinese, Korean, Taiwanese
Java	48	Sumatra	sun.misc.Unsafe, Applet, JavaTM, Java-like, jdk, Java-related, J2ME, JVMs, JSDK, Java-specific, jdk6, OpenJDK, JavaFX, Javas, J2EE, J2SE, JDK1.6, byte-codes, JPython, Jvm, NetBeans, ClassPath, JVM-based, JavaSoft, JVM, jvm, JavaA, Java.The, Jave, JavaME, JavaThe, gcj, Java.I, non-java, all-Java, Icedtea, JavaFx, Sumatra, JavaSE
Java	22	Servlets	JavaEE, Servlets, EJB, JavaBeans, J2ee, JDBC, Servlet
Java	26	.NET	.NET
